출발명,도착명,이동횟수,출발위도,출발경도,도착위도,도착경도
마곡나루역 5번출구 뒤편,LG사이언스파크 E14동,23,37.659557,127.075256,37.56349564,126.83583069
테라타워2,문정법조단지12,22,37.471855,126.958717,37.4862709,127.11476898
장한평역 8번 출구 앞,중랑물재생센터(서울새활용플라자),19,37.548061,126.86042,37.608101,127.101181
신도림역 1번 출구 앞,리버뷰신안인스빌1차 후문,18,37.495564,127.01918,37.51374817,126.88851166
해원리바파크 육교 밑,철도교통관제센터 정문 앞,17,37.510193,127.007256,37.49708176,126.87788391
양평동6차현대아파트 앞,당산역11번출구,16,37.524506,126.891823,37.53363037,126.90145874
목동역5번출구,"양천구청, 보건소 사잇길",15,37.473614,127.03051,37.472919,127.095886
국회의사당역 3번출구 옆,국민일보 앞,15,37.54425,126.951637,37.543579,126.951324
신정보도육교 아래,오목교역 6번 출구,14,37.467506,127.034477,37.5236702,126.87567139
하늘채코오롱아파트 건너편,홍대입구역 2번출구 앞,14,37.572105,126.960953,37.530235,127.08683
시청역 2번출구,광화문 S타워 앞,14,37.56557846,126.97702026,37.546848,126.872772
답십리파크자이아파트 앞,답십리역 4번출구,14,37.5676918,127.05789185,37.56600189,127.05431366
자양나들목,자양(뚝섬한강공원)역 1번출구 앞,13,37.512169,127.078934,37.526794,127.130058
마곡나루역 5번출구 뒤편,코오롱One&Only타워,13,37.659557,127.075256,37.551304,127.035194
강서구청사거리(SH타워),가양역 7번출구,13,37.52124,127.031899,37.56019592,126.8549118
마곡나루역 5번출구 뒤편,마곡문화공원,13,37.659557,127.075256,37.651497,127.077042
마곡13단지 정문 앞,마곡역 7번출구,13,37.554688,127.139404,37.55974579,126.8243866
오목교역 7번출구 앞,서울출입국관리사무소 앞,13,37.489178,126.919273,37.484409,126.928909
잠실주공5단지1,잠실역 6번출구,12,37.51633453,127.09380341,37.501904,126.828964
역촌파출소,응암역2번출구 국민은행 앞,12,37.591694,127.012497,37.524334,126.850548
