출발명,도착명,이동횟수,출발위도,출발경도,도착위도,도착경도
LG사이언스파크 E14동,마곡나루역 3번 출구,520,,,37.516403,127.077614
철도교통관제센터 정문 앞,해원리바파크 육교 밑,341,,,37.510193,127.007256
마곡역 7번출구,마곡13단지 정문 앞,321,,,37.554688,127.139404
LG유플러스 마곡사옥,마곡나루역 3번 출구,309,37.653519,127.071304,37.516403,127.077614
오목교역 6번 출구,신정보도육교 아래,306,,,37.467506,127.034477
답십리역 4번출구,답십리파크자이아파트 앞,304,,,,
잠실역 6번출구,잠실주공5단지1,288,37.501904,126.828964,,
광화문 S타워 앞,서울도시건축전시관 옆,280,37.546848,126.872772,,
해원리바파크 육교 밑,철도교통관제센터 정문 앞,258,37.510193,127.007256,,
LG사이언스파크 E10동,마곡나루역 3번 출구,234,,,37.516403,127.077614
가양역 7번출구,강서구청사거리(SH타워),218,,,37.52124,127.031899
양천구청역 2번출구 옆,양천아파트 입구,212,37.511372,127.021461,37.505581,127.024277
자양(뚝섬한강공원)역 1번출구 앞,자양한강도서관,196,37.526794,127.130058,,
마곡역교차로,마곡수명산파크3단지 교차로,195,37.484631,126.97155,37.461494,127.049072
마곡역교차로,수명초등학교,182,37.484631,126.97155,37.571804,127.174469
영등포역 1번출구,영등포 푸르지오 아파트 A,181,37.475204,126.890129,37.512375,127.108223
중랑물재생센터(서울새활용플라자),장한평역 8번 출구 앞,177,37.608101,127.101181,37.548061,126.86042
건국대학교 신공학관,건대병원후문,174,,,,
문정법조단지12,테라타워2,173,,,37.471855,126.958717
제2구민체육센타 앞,당산삼성2차아파트,172,37.548641,127.016426,,
